Count of cars produced by each manufacturer: 
============================================================
MANUFACTURER,# CARS
Audi,A3 Cabriolet,28
Mini,MINI John Cooper Works Hardtop,28
Volkswagen,Beetle Convertible,28
Acura,TLX 2WD,28
BMW,320i,28
BMW,320i,28
Chevrolet,SONIC,28
Chevrolet,SONIC RS,28
HYUNDAI MOTOR COMPANY,Veloster,28
INFINITI,Q50 HYBRID AWD,28
KIA MOTORS CORPORATION,Forte Koup,28
Mercedes-Benz,C 300,28
Mini,Mini Cooper S Countryman,28
Mini,Mini Cooper S Paceman,28
Mitsubishi Motors Corporation,LANCER,28
Subaru,IMPREZA,28
Volkswagen,Beetle,28
Volkswagen,Beetle,28
Volkswagen,GTI,28
Volkswagen,GTI,28
Audi,A6,28
Chevrolet,SONIC 5 RS,28
Chrysler,200,28
Chrysler,200,28
Ford,FUSION FWD,28
HYUNDAI MOTOR COMPANY,Elantra,28
HYUNDAI MOTOR COMPANY,Elantra,28
KIA MOTORS CORPORATION,Forte,28
Mini,Mini Cooper Clubman,28
Mini,Mini Cooper Clubman,28
TOYOTA,CAMRY,28
Audi,A8L,28
KIA MOTORS CORPORATION,Forte 5,28
KIA MOTORS CORPORATION,Optima,28
Chevrolet,SONIC 5,28
FIAT,500L,28
NISSAN,JUKE AWD,28
Subaru,IMPREZA SPORT,28
Subaru,IMPREZA WAGON,28
NISSAN,MURANO Hybrid AWD,28
Buick,ENCORE,28
FIAT,500X,28
Honda,HR-V 2WD,28
NISSAN,ROGUE FWD,28
NISSAN,ROGUE AWD,28
Subaru,OUTBACK,28
TOYOTA,HIGHLANDER HYBRID AWD,28
TOYOTA,HIGHLANDER HYBRID AWD LE Plus,28
FIAT,500,27
FIAT,500 Abarth,27
Mini,Mini Cooper S Convertible,27
Audi,A3,27
Audi,A3 quattro,27
BMW,228i,27
BMW,228i Convertible,27
BMW,228i xDrive,27
BMW,428i Convertible,27
Mini,Mini Cooper S Hardtop 2 door,27
Mini,Mini Cooper S Hardtop 4 door,27
Audi,A4,27
BMW,320i xDrive,27
BMW,328i,27
BMW,428i Coupe,27
BMW,428i Gran Coupe,27
KIA MOTORS CORPORATION,Forte Koup,27
Mercedes-Benz,C 300 4MATIC,27
Mercedes-Benz,CLA 250 4MATIC,27
Mercedes-Benz,CLA 250 4MATIC,27
Mini,Mini Cooper Countryman,27
Mini,Mini Cooper Paceman,27
Mini,Mini Cooper S Countryman All4,27
Mini,Mini Cooper S Paceman ALL4,27
Mini,Mini JCW Countryman ALL4,27
Mini,Mini JCW Paceman ALL4,27
Mitsubishi Motors Corporation,LANCER,27
Volkswagen,Beetle,27
Volkswagen,Beetle Dune,27
Volkswagen,Jetta,27
Volkswagen,Jetta,27
Volvo,S60 FWD,27
BMW,528i,27
Chevrolet,CRUZE LIMITED,27
Chevrolet,MALIBU LIMITED,27
Dodge,Dart,27
Dodge,Dart,27
Dodge,Dart,27
Dodge,Dart GT,27
Honda,ACCORD,27
HYUNDAI MOTOR COMPANY,Elantra GT,27
HYUNDAI MOTOR COMPANY,Elantra GT,27
Mini,Mini Cooper S Clubman,27
KIA MOTORS CORPORATION,Soul,27
KIA MOTORS CORPORATION,Soul ECO dynamics,27
NISSAN,JUKE NISMO RS,27
NISSAN,JUKE NISMO RS AWD,27
HYUNDAI MOTOR COMPANY,Tucson FWD,27
Jeep,Renegade 4x2,27
Mitsubishi Motors Corporation,OUTLANDER 2WD,27
Mitsubishi Motors Corporation,OUTLANDER SPORT 2WD,27
Audi,Q5,27
Chevrolet,TRAX AWD,27
Honda,CR-V 4WD,27
HYUNDAI MOTOR COMPANY,Tucson Eco AWD,27
Jeep,Renegade 4x4,27
Mercedes-Benz,GLA 250 4MATIC,27
Mercedes-Benz,GLA 250 4MATIC,27
Subaru,FORESTER,27
Audi,TT Roadster quattro,26
BMW,Z4 sDrive28i,26
BMW,Z4 sDrive28i,26
Porsche,Boxster,26
Porsche,Cayman,26
Audi,A3 Cabriolet quattro,26
Audi,A5 quattro,26
Audi,S3,26
Audi,TT Coupe quattro,26
BMW,228i,26
BMW,228i xDrive Convertible,26
LEXUS,RC 200t,26
Mini,MINI John Cooper Works Hardtop,26
Volkswagen,Beetle Convertible,26
Volkswagen,Beetle Convertible,26
Audi,A4 quattro,26
BMW,328i,26
BMW,328i xDrive,26
BMW,340i,26
BMW,340i xDrive,26
BMW,428i Coupe,26
BMW,428i xDrive Coupe,26
BMW,428i xDrive Gran Coupe,26
Cadillac,ATS,26
Cadillac,ATS,26
LEXUS,IS 200t,26
Mercedes-Benz,AMG CLA 45 4MATIC,26
Mini,Mini Cooper S Countryman All4,26
Mini,Mini Cooper S Paceman ALL4,26
Mini,Mini JCW Countryman ALL4,26
Mini,Mini JCW Paceman ALL4,26
Mitsubishi Motors Corporation,LANCER 4WD,26
SCION,tC,26
SCION,tC,26
Volkswagen,Beetle,26
Audi,A6 quattro,26
BMW,528i xDrive,26
BMW,ActiveHybrid 5,26
Chevrolet,MALIBU,26
Dodge,Dart GT,26
Ford,FUSION FWD,26
Ford,FUSION FWD,26
Honda,ACCORD,26
INFINITI,Q50,26
LEXUS,GS 200t,26
Lincoln,MKZ FWD,26
Mini,Mini Cooper S Clubman,26
NISSAN,ALTIMA 3.5,26
BMW,328i xDrive Gran Turismo,26
BMW,X1 xDrive28i,26
HYUNDAI MOTOR COMPANY,Sonata,26
KIA MOTORS CORPORATION,Optima FE,26
BMW,328i xDrive Sports Wagon,26
KIA MOTORS CORPORATION,Soul,26
KIA MOTORS CORPORATION,Soul,26
Chevrolet,EQUINOX FWD,26
Chevrolet,EQUINOX FWD,26
Ford,ESCAPE FWD,26
GMC,TERRAIN FWD,26
GMC,TERRAIN FWD,26
HYUNDAI MOTOR COMPANY,Tucson FWD,26
Jeep,Compass FWD,26
Jeep,Patriot FWD,26
TOYOTA,RAV4,26
TOYOTA,RAV4 LE/XLE,26
Volvo,XC60 FWD,26
Volvo,XC70 FWD,26
Audi,Q5 Hybrid,26
Buick,ENCORE AWD,26
HYUNDAI MOTOR COMPANY,Tucson AWD,26
MAZDA,CX-5 4WD,26
Mitsubishi Motors Corporation,OUTLANDER 4WD,26
Mitsubishi Motors Corporation,OUTLANDER SPORT 4WD,26
Subaru,CROSSTREK,26
INFINITI,QX60 Hybrid FWD,26
BMW,X5 xDrive 35d,26
INFINITI,QX60 Hybrid AWD,26
Mercedes-Benz,GLE 350 d 4MATIC,26
Porsche,Boxster GTS,25
Porsche,Cayman GTS,25
SCION,FR-S,25
Subaru,BRZ,25
Audi,A5 quattro,25
Audi,TTS Coupe,25
BMW,428i xDrive Convertible,25
Ford,MUSTANG,25
Ford,MUSTANG,25
Volkswagen,Eos,25
Acura,TLX 2WD,25
Acura,TLX 4WD,25
Audi,A4 quattro,25
Buick,VERANO,25
Cadillac,ATS AWD,25
Chevrolet,CAMARO,25
KIA MOTORS CORPORATION,Forte Koup,25
KIA MOTORS CORPORATION,Forte Koup,25
Mitsubishi Motors Corporation,LANCER,25
Volkswagen,CC,25
Volkswagen,CC,25
Volkswagen,Golf R,25
Volkswagen,Golf R,25
Volvo,S60 AWD,25
Cadillac,CTS SEDAN,25
Ford,Focus ST FWD,25
Ford,FUSION AWD,25
Honda,ACCORD,25
Lincoln,MKZ AWD,25
NISSAN,MAXIMA,25
TOYOTA,CAMRY,25
Cadillac,CT6,25
Chevrolet,IMPALA,25
HYUNDAI MOTOR COMPANY,Sonata Limited,25
KIA MOTORS CORPORATION,Optima,25
FIAT,500L,25
Volvo,V60 AWD,25
Mercedes-Benz,AMG GLA 45 4MATIC,25
Chevrolet,COLORADO 2WD,25
GMC,CANYON 2WD,25
CHEVROLET,City Express Cargo Van,25
Ford,Transit Connect Van 2WD,25
Ford,TRANSIT CONNECT WAGON FWD,25
NISSAN,NV200 Cargo Van,25
FIAT,500X,25
Ford,ESCAPE FWD,25
Ford,ESCAPE FWD,25
Jeep,Cherokee FWD,25
Jeep,Cherokee FWD,25
Jeep,Compass FWD,25
Jeep,Patriot FWD,25
Jeep,Renegade 4x2,25
LEXUS,NX 200t,25
Mitsubishi Motors Corporation,OUTLANDER SPORT 2WD,25
Mitsubishi Motors Corporation,OUTLANDER SPORT 2WD,25
Ford,ESCAPE AWD,25
Subaru,FORESTER,25
Subaru,FORESTER,25
TOYOTA,RAV4 AWD,25
TOYOTA,RAV4 Limited AWD/SE AWD,25
Jeep,Grand Cherokee 4X2,25
Land Rover,Range Rover Sport TDV6,25
Land Rover,Range Rover TDV6,25
Mercedes-Benz,SLK 350,24
Porsche,Boxster,24
Porsche,Boxster S,24
Porsche,Cayman,24
Porsche,Cayman S,24
Audi,A5 Cabriolet quattro,24
BMW,435i Convertible,24
BMW,640i Convertible,24
BMW,640i Coupe,24
BMW,M235i,24
BMW,M235i Convertible,24
Ford,MUSTANG CONVERTIBLE,24
Mercedes-Benz,E 400 (convertible),24
Mercedes-Benz,E 400 (coupe),24
BMW,435i Coupe,24
BMW,435i Gran Coupe,24
BMW,640i Gran Coupe,24
Buick,VERANO,24
Buick,VERANO,24
Cadillac,ATS,24
Chevrolet,CAMARO,24
Mercedes-Benz,C 450 AMG,24
Mercedes-Benz,CLS 400,24
Acura,RLX,24
Audi,A6 quattro,24
Audi,A7 quattro,24
BMW,535i,24
Buick,REGAL,24
Buick,REGAL,24
Cadillac,CTS SEDAN,24
Cadillac,CTS SEDAN AWD,24
INFINITI,Q50 AWD,24
Jaguar,XF,24
LEXUS,ES 350,24
